model_name,km_driven,fuel_type,transmission,owner,engine_capacity,price,link
2014 Toyota Innova,93.39k km,Diesel,Manual,3rd,2494cc,₹10.05 lakh,https://www.cars24.com/buy-used-toyota-innova-2014-cars-bangalore-10220240720/
2021 Hyundai VENUE,67.11k km,Petrol,Manual,1st,1197cc,₹7.25 lakh,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-bangalore-10251740709/
2024 Maruti Celerio,8.16k km,Petrol,,1st,998cc,₹7.62 lakh,https://www.cars24.com/buy-used-maruti-celerio-2024-cars-bangalore-10240349761/
2015 Toyota Corolla Altis,1.8L km,Petrol,,3rd,1798cc,₹6.23 lakh,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-bangalore-10201103797/
2019 Honda Jazz,10.44k km,Petrol,,1st,1199cc,₹7.00 lakh,https://www.cars24.com/buy-used-honda-jazz-2019-cars-bangalore-10284409778/
2016 Renault Duster,33.52k km,Diesel,,1st,1461cc,₹8.37 lakh,https://www.cars24.com/buy-used-renault-duster-2016-cars-bangalore-10274508714/
2021 Skoda KUSHAQ,44.72k km,Petrol,Manual,1st,1498cc,₹14.50 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-bangalore-10219508718/
2012 Renault Duster,2.0L km,Diesel,Manual,1st,1461cc,₹3.50 lakh,https://www.cars24.com/buy-used-renault-duster-2012-cars-bangalore-10253949762/
2016 Mahindra Bolero,85.07k km,Diesel,Manual,1st,2523cc,₹4.91 lakh,https://www.cars24.com/buy-used-mahindra-bolero-2016-cars-bangalore-10243345703/
2022 Maruti Baleno,27.45k km,Petrol,Manual,2nd,1197cc,₹7.50 lakh,https://www.cars24.com/buy-used-maruti-baleno-2022-cars-bangalore-10295301798/
2020 MG HECTOR PLUS,45.88k km,Petrol,,1st,1451cc,₹15.09 lakh,https://www.cars24.com/buy-used-mg-hector-plus-2020-cars-bangalore-10254606778/
2021 BMW X1,46.02k km,Diesel,,1st,1995cc,₹32.00 lakh,https://www.cars24.com/buy-used-bmw-x1-2021-cars-bangalore-10254046782/
2023 Renault Kiger,8.31k km,Petrol,Manual,1st,999cc,₹7.80 lakh,https://www.cars24.com/buy-used-renault-kiger-2023-cars-bangalore-10248547709/
2021 Renault Kiger,30.12k km,Petrol,,2nd,999cc,₹7.20 lakh,https://www.cars24.com/buy-used-renault-kiger-2021-cars-bangalore-10248044782/
2020 KIA SELTOS,38.09k km,Petrol,Manual,1st,1497cc,₹10.85 lakh,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10233605792/
2012 Audi A6,1.2L km,Diesel,,2nd,1968cc,₹8.48 lakh,https://www.cars24.com/buy-used-audi-a6-2012-cars-bangalore-10222800791/
2020 Toyota URBAN CRUISER,78.50k km,Petrol,,1st,1462cc,₹8.52 lakh,https://www.cars24.com/buy-used-toyota-urban-cruiser-2020-cars-bangalore-10289506712/
2019 Hyundai VENUE,55.29k km,Petrol,Manual,2nd,998cc,₹7.90 lakh,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-bangalore-10222745761/
2019 Maruti XL6,7.77k km,Petrol,,1st,1462cc,₹10.97 lakh,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-bangalore-10297342743/
2020 KIA SONET,64.22k km,Diesel,Manual,1st,1493cc,₹11.00 lakh,https://www.cars24.com/buy-used-kia-sonet-2020-cars-bangalore-10283006796/
2011 Toyota Innova,2.4L km,Diesel,Manual,1st,,₹7.00 lakh,https://www.cars24.com/buy-used-toyota-innova-2011-cars-bangalore-10253342765/
2013 Ford Ecosport,1.0L km,Diesel,Manual,2nd,1498cc,₹4.22 lakh,https://www.cars24.com/buy-used-ford-ecosport-2013-cars-bangalore-10222541728/
2021 KIA SELTOS,42.59k km,Petrol,Manual,1st,1497cc,₹11.31 lakh,https://www.cars24.com/buy-used-kia-seltos-2021-cars-bangalore-10218644703/
2023 Honda City,13.20k km,Petrol,,1st,1498cc,₹14.50 lakh,https://www.cars24.com/buy-used-honda-city-2023-cars-bangalore-10214146741/
2021 Toyota YARIS,25.71k km,Petrol,,1st,1496cc,₹8.50 lakh,https://www.cars24.com/buy-used-toyota-yaris-2021-cars-bangalore-10256547761/
2019 KIA SELTOS,74.75k km,Petrol,Manual,1st,,₹11.76 lakh,https://www.cars24.com/buy-used-kia-seltos-2019-cars-bangalore-10253646763/
2023 Maruti BREZZA,36.20k km,Petrol,Manual,1st,1462cc,₹10.44 lakh,https://www.cars24.com/buy-used-maruti-brezza-2023-cars-bangalore-10202248740/
2010 Toyota Fortuner,78.28k km,Diesel,Manual,1st,2982cc,₹10.70 lakh,https://www.cars24.com/buy-used-toyota-fortuner-2010-cars-bangalore-10287804714/
2017 Skoda Superb,1.0L km,Diesel,,3rd,1968cc,₹15.01 lakh,https://www.cars24.com/buy-used-skoda-superb-2017-cars-bangalore-10224302795/
2023 Renault Kiger,4.12k km,Petrol,,1st,999cc,₹8.36 lakh,https://www.cars24.com/buy-used-renault-kiger-2023-cars-bangalore-10287007790/
2015 Nissan Micra,59.37k km,Petrol,,1st,1198cc,₹4.00 lakh,https://www.cars24.com/buy-used-nissan-micra-2015-cars-bangalore-10253703796/
2023 Mahindra XUV300,7.15k km,Petrol,Manual,1st,1197cc,₹9.00 lakh,https://www.cars24.com/buy-used-mahindra-xuv300-2023-cars-bangalore-10263745708/
2024 Renault Kiger,10.34k km,Petrol,,1st,,₹9.91 lakh,https://www.cars24.com/buy-used-renault-kiger-2024-cars-bangalore-10259505778/
2012 Audi Q7,73.06k km,Diesel,,1st,4134cc,₹12.60 lakh,https://www.cars24.com/buy-used-audi-q7-2012-cars-bangalore-10242942706/
2022 Mahindra XUV300,45.02k km,Petrol,,1st,1197cc,₹10.28 lakh,https://www.cars24.com/buy-used-mahindra-xuv300-2022-cars-bangalore-10285342760/
2020 KIA SELTOS,31.44k km,Petrol,,1st,1353cc,₹13.90 lakh,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10281546740/
2019 Toyota Innova Crysta,2.1L km,Diesel,Manual,2nd,2393cc,₹15.10 lakh,https://www.cars24.com/buy-used-toyota-innova-crysta-2019-cars-bangalore-10264700777/
2021 MG ZS EV,40.15k km,Electric,,1st,,₹11.50 lakh,https://www.cars24.com/buy-used-mg-zs-ev-2021-cars-bangalore-10254540741/
2018 Hyundai Creta,97.17k km,Petrol,,2nd,1591cc,₹8.85 lakh,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-bangalore-10281807776/
2021 Skoda KUSHAQ,54.18k km,Petrol,Manual,2nd,1498cc,₹13.50 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-bangalore-10290006796/
2019 Toyota Fortuner,2.8L km,Diesel,Manual,1st,2755cc,₹23.81 lakh,https://www.cars24.com/buy-used-toyota-fortuner-2019-cars-bangalore-10289940740/
2020 MG HECTOR,40.95k km,Petrol,,1st,1451cc,₹13.57 lakh,https://www.cars24.com/buy-used-mg-hector-2020-cars-bangalore-10289001791/
2018 Tata Hexa,1.0L km,Diesel,Manual,2nd,2179cc,₹8.11 lakh,https://www.cars24.com/buy-used-tata-hexa-2018-cars-bangalore-10283707713/
2024 Maruti Ciaz,18.53k km,Petrol,Manual,1st,1462cc,₹9.50 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2024-cars-bangalore-10240105794/
2018 Renault Captur,1.4L km,Diesel,Manual,2nd,1461cc,₹7.00 lakh,https://www.cars24.com/buy-used-renault-captur-2018-cars-bangalore-10223108770/
2017 Skoda Superb,46.09k km,Petrol,,1st,1798cc,₹17.25 lakh,https://www.cars24.com/buy-used-skoda-superb-2017-cars-bangalore-10201506778/
2019 Maruti S Cross,47.78k km,Diesel,Manual,1st,1248cc,₹10.00 lakh,https://www.cars24.com/buy-used-maruti-s-cross-2019-cars-bangalore-10266309796/
2019 Mahindra XUV300,51.35k km,Diesel,Manual,1st,1497cc,₹9.76 lakh,https://www.cars24.com/buy-used-mahindra-xuv300-2019-cars-bangalore-10235246766/
2021 KIA SELTOS,50.98k km,Diesel,,1st,1493cc,₹16.00 lakh,https://www.cars24.com/buy-used-kia-seltos-2021-cars-bangalore-10248606774/
2022 Mahindra MARAZZO,19.42k km,Diesel,Manual,1st,1497cc,₹12.96 lakh,https://www.cars24.com/buy-used-mahindra-marazzo-2022-cars-bangalore-10204707791/
2024 Toyota Urban Cruiser Taisor,25.85k km,Petrol,Manual,1st,1197cc,₹14.83 lakh,https://www.cars24.com/buy-used-toyota-urban-cruiser-taisor-2024-cars-bangalore-10201842764/
2020 Hyundai Verna,42.40k km,Petrol,Manual,2nd,1497cc,₹9.37 lakh,https://www.cars24.com/buy-used-hyundai-verna-2020-cars-bangalore-10266800711/
2018 Tata Hexa,1.0L km,Diesel,,2nd,2179cc,₹10.05 lakh,https://www.cars24.com/buy-used-tata-hexa-2018-cars-bangalore-10257708799/
2022 Mahindra SCORPIO-N,40.58k km,Diesel,,1st,2183cc,₹20.00 lakh,https://www.cars24.com/buy-used-mahindra-scorpio-n-2022-cars-bangalore-10228549708/
2024 Hyundai EXTER,2.02k km,Petrol,,1st,1197cc,₹10.30 lakh,https://www.cars24.com/buy-used-hyundai-exter-2024-cars-bangalore-10269047745/
2013 Mercedes Benz Ml Class,1.4L km,Diesel,,1st,2987cc,₹11.36 lakh,https://www.cars24.com/buy-used-mercedes-benz-ml-class-2013-cars-bangalore-10236400775/
2017 Renault Captur,1.4L km,Diesel,Manual,1st,,₹7.08 lakh,https://www.cars24.com/buy-used-renault-captur-2017-cars-bangalore-10228941707/
2023 Hyundai AURA,27.67k km,Petrol,,1st,1197cc,₹8.18 lakh,https://www.cars24.com/buy-used-hyundai-aura-2023-cars-bangalore-10285040765/
2013 Toyota Innova,1.1L km,Diesel,Manual,2nd,2494cc,₹9.36 lakh,https://www.cars24.com/buy-used-toyota-innova-2013-cars-bangalore-10279747764/
2021 Hyundai NEW I20 N LINE,78.15k km,Petrol,Manual,1st,998cc,₹9.22 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-n-line-2021-cars-bangalore-10278304790/
2018 Renault Duster,1.6L km,Diesel,Manual,1st,,₹8.10 lakh,https://www.cars24.com/buy-used-renault-duster-2018-cars-bangalore-10230648734/
2023 Toyota RUMION,4.07k km,Petrol,,1st,1462cc,₹16.78 lakh,https://www.cars24.com/buy-used-toyota-rumion-2023-cars-bangalore-10278649761/
2011 Toyota Fortuner,80.25k km,Diesel,Manual,1st,2982cc,₹11.10 lakh,https://www.cars24.com/buy-used-toyota-fortuner-2011-cars-bangalore-10247704717/
2011 Toyota Innova,2.2L km,Diesel,Manual,1st,2494cc,₹7.51 lakh,https://www.cars24.com/buy-used-toyota-innova-2011-cars-bangalore-10222905713/
2017 Toyota Innova Crysta,99.76k km,Petrol,,1st,2694cc,₹15.50 lakh,https://www.cars24.com/buy-used-toyota-innova-crysta-2017-cars-bangalore-10219800772/
2011 Skoda Yeti,1.5L km,Diesel,Manual,3rd,,₹3.50 lakh,https://www.cars24.com/buy-used-skoda-yeti-2011-cars-bangalore-10205947762/
2010 Mercedes Benz GL Class,1.3L km,Diesel,,4th,2987cc,₹7.26 lakh,https://www.cars24.com/buy-used-mercedes-benz-gl-class-2010-cars-bangalore-10212545704/
2011 Toyota Innova,2.1L km,Diesel,Manual,1st,,₹8.47 lakh,https://www.cars24.com/buy-used-toyota-innova-2011-cars-bangalore-10274045769/
2014 Ford Ecosport,77.00k km,Diesel,Manual,1st,1498cc,₹5.08 lakh,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-bangalore-10240906711/
2022 Mercedes Benz GLA Class,14.50k km,Petrol,,2nd,1991cc,₹44.00 lakh,https://www.cars24.com/buy-used-mercedes-benz-gla-class-2022-cars-bangalore-10277245787/
2013 BMW 3 Series,68.15k km,Diesel,,2nd,1995cc,₹11.85 lakh,https://www.cars24.com/buy-used-bmw-3-series-2013-cars-bangalore-10263946763/
2020 MG HECTOR,67.62k km,Petrol,Manual,3rd,1451cc,₹12.07 lakh,https://www.cars24.com/buy-used-mg-hector-2020-cars-bangalore-10261048721/
2014 Audi A3,1.2L km,Diesel,,1st,1968cc,₹13.00 lakh,https://www.cars24.com/buy-used-audi-a3-2014-cars-bangalore-10231744740/
2019 KIA SELTOS,26.44k km,Petrol,Manual,1st,,₹12.95 lakh,https://www.cars24.com/buy-used-kia-seltos-2019-cars-bangalore-10208147749/
2021 Maruti S Cross,15.72k km,Petrol,Manual,1st,1462cc,₹9.40 lakh,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-bangalore-10234606774/
2020 KIA SELTOS,94.00k km,Diesel,Manual,1st,1493cc,₹11.81 lakh,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10293844741/
2022 Hyundai Creta,77.14k km,Diesel,,2nd,1493cc,₹15.70 lakh,https://www.cars24.com/buy-used-hyundai-creta-2022-cars-bangalore-10285745739/
2023 Renault Kiger,28.53k km,Petrol,,1st,999cc,₹9.11 lakh,https://www.cars24.com/buy-used-renault-kiger-2023-cars-bangalore-10209749769/
2014 Toyota Innova,83.98k km,Diesel,Manual,2nd,2494cc,₹11.20 lakh,https://www.cars24.com/buy-used-toyota-innova-2014-cars-bangalore-10209309774/
2023 Hyundai EXTER,9.67k km,Petrol,,1st,1197cc,₹10.12 lakh,https://www.cars24.com/buy-used-hyundai-exter-2023-cars-bangalore-10258606795/
2021 MG HECTOR,41.36k km,Petrol,,1st,1451cc,₹16.19 lakh,https://www.cars24.com/buy-used-mg-hector-2021-cars-bangalore-10251806794/
2016 Toyota Innova Crysta,2.2L km,Diesel,,1st,2755cc,₹15.92 lakh,https://www.cars24.com/buy-used-toyota-innova-crysta-2016-cars-bangalore-10245405775/
2021 Skoda KUSHAQ,54.19k km,Petrol,Manual,2nd,1498cc,₹13.85 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-bangalore-10234806774/
2019 Honda City,30.64k km,Petrol,,2nd,1497cc,₹9.44 lakh,https://www.cars24.com/buy-used-honda-city-2019-cars-bangalore-10210349744/
2021 MG HECTOR,30.88k km,Petrol,,3rd,1451cc,₹14.00 lakh,https://www.cars24.com/buy-used-mg-hector-2021-cars-bangalore-10209742760/
2019 BMW 3 Series,26.83k km,Diesel,,2nd,1995cc,₹23.97 lakh,https://www.cars24.com/buy-used-bmw-3-series-2019-cars-bangalore-10283409777/
2022 Tata NEXON EV,21.50k km,Electric,,1st,,₹15.95 lakh,https://www.cars24.com/buy-used-tata-nexon-ev-2022-cars-bangalore-10227908771/
2018 Audi A6,1.0L km,Diesel,,1st,1968cc,₹25.00 lakh,https://www.cars24.com/buy-used-audi-a6-2018-cars-bangalore-10204943742/
2020 Mahindra Bolero,1.3L km,Diesel,Manual,1st,1493cc,₹8.00 lakh,https://www.cars24.com/buy-used-mahindra-bolero-2020-cars-bangalore-10221045735/
2024 Hyundai Creta N Line,3.91k km,Petrol,,1st,1482cc,₹22.93 lakh,https://www.cars24.com/buy-used-hyundai-creta-n-line-2024-cars-bangalore-10229404790/
2021 Maruti Ciaz,55.24k km,Petrol,Manual,1st,1462cc,₹9.50 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2021-cars-bangalore-10282241709/
2021 Mahindra XUV300,74.51k km,Petrol,,1st,1197cc,₹9.50 lakh,https://www.cars24.com/buy-used-mahindra-xuv300-2021-cars-bangalore-10222800794/
2019 KIA SELTOS,52.05k km,Petrol,,1st,1353cc,₹12.50 lakh,https://www.cars24.com/buy-used-kia-seltos-2019-cars-bangalore-10250142765/
2019 Jeep Compass,61.61k km,Petrol,Manual,1st,1368cc,₹10.50 lakh,https://www.cars24.com/buy-used-jeep-compass-2019-cars-bangalore-10207449745/
2022 Skoda SLAVIA,28.14k km,Petrol,Manual,1st,999cc,₹14.00 lakh,https://www.cars24.com/buy-used-skoda-slavia-2022-cars-bangalore-10298541729/
2019 Toyota Glanza,41.80k km,Petrol,Manual,2nd,1197cc,₹6.77 lakh,https://www.cars24.com/buy-used-toyota-glanza-2019-cars-bangalore-10261240768/
2022 MG ZS EV,12.34k km,Electric,,1st,,₹17.74 lakh,https://www.cars24.com/buy-used-mg-zs-ev-2022-cars-bangalore-10233700715/
2021 Hyundai Creta,26.83k km,Petrol,,2nd,1497cc,₹14.50 lakh,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-bangalore-10274843748/
2024 Maruti BREZZA,4.29k km,Petrol,Manual,1st,1462cc,₹12.30 lakh,https://www.cars24.com/buy-used-maruti-brezza-2024-cars-bangalore-10274342761/
2022 KIA SELTOS,14.87k km,Petrol,Manual,1st,1497cc,₹13.30 lakh,https://www.cars24.com/buy-used-kia-seltos-2022-cars-bangalore-10225441722/
2021 Jeep Compass,68.70k km,Diesel,Manual,1st,1956cc,₹25.58 lakh,https://www.cars24.com/buy-used-jeep-compass-2021-cars-bangalore-10223140702/
2021 Skoda KUSHAQ,80.35k km,Petrol,,1st,1498cc,₹14.00 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-bangalore-10268905794/
2020 Hyundai Verna,91.56k km,Petrol,,1st,998cc,₹10.46 lakh,https://www.cars24.com/buy-used-hyundai-verna-2020-cars-bangalore-10214647701/
2019 Toyota Glanza,74.70k km,Petrol,Manual,1st,1197cc,₹6.49 lakh,https://www.cars24.com/buy-used-toyota-glanza-2019-cars-bangalore-10273248726/
2011 Skoda Laura,2.5L km,Diesel,,1st,1968cc,₹4.43 lakh,https://www.cars24.com/buy-used-skoda-laura-2011-cars-bangalore-10262747743/
2014 Nissan Terrano,1.9L km,Diesel,Manual,2nd,1461cc,₹4.50 lakh,https://www.cars24.com/buy-used-nissan-terrano-2014-cars-bangalore-10200807791/
2021 KIA SELTOS,57.36k km,Diesel,,1st,1493cc,₹16.93 lakh,https://www.cars24.com/buy-used-kia-seltos-2021-cars-bangalore-10236345743/
2022 Maruti BREZZA,1.0L km,Petrol,Manual,1st,1462cc,₹8.00 lakh,https://www.cars24.com/buy-used-maruti-brezza-2022-cars-bangalore-10225844741/
2024 Tata Safari,9.91k km,Diesel,Manual,1st,,₹22.95 lakh,https://www.cars24.com/buy-used-tata-safari-2024-cars-bangalore-10277540765/
2018 Tata Hexa,1.2L km,Diesel,,2nd,2179cc,₹9.93 lakh,https://www.cars24.com/buy-used-tata-hexa-2018-cars-bangalore-10292847740/
2021 Tata NEXON EV,1.0L km,Electric,,1st,,₹8.00 lakh,https://www.cars24.com/buy-used-tata-nexon-ev-2021-cars-bangalore-10295742727/
2022 Hyundai KONA ELECTRIC,8.08k km,Electric,,1st,,₹16.85 lakh,https://www.cars24.com/buy-used-hyundai-kona-electric-2022-cars-bangalore-10245347720/
2019 Tata Hexa,54.69k km,Diesel,Manual,1st,2179cc,₹9.50 lakh,https://www.cars24.com/buy-used-tata-hexa-2019-cars-bangalore-10229005791/
2013 Toyota Innova,2.0L km,Diesel,Manual,3rd,,₹7.00 lakh,https://www.cars24.com/buy-used-toyota-innova-2013-cars-bangalore-10296446746/
2023 Maruti S PRESSO,92.57k km,Petrol,Manual,2nd,998cc,₹4.60 lakh,https://www.cars24.com/buy-used-maruti-s-presso-2023-cars-bangalore-10253609795/
2018 Mahindra ALTURAS G4,69.81k km,Diesel,,1st,2157cc,₹19.00 lakh,https://www.cars24.com/buy-used-mahindra-alturas-g4-2018-cars-bangalore-10203144701/
2023 Honda City,29.38k km,Petrol,,1st,1498cc,₹15.70 lakh,https://www.cars24.com/buy-used-honda-city-2023-cars-bangalore-10257701791/
2013 Maruti Swift,1.8L km,Diesel,Manual,1st,1248cc,₹4.25 lakh,https://www.cars24.com/buy-used-maruti-swift-2013-cars-bangalore-10220749725/
2021 Ford Ecosport,76.53k km,Petrol,,1st,1496cc,₹11.45 lakh,https://www.cars24.com/buy-used-ford-ecosport-2021-cars-bangalore-10236509793/
2024 MG ZS EV,34.19k km,Electric,,1st,,₹17.00 lakh,https://www.cars24.com/buy-used-mg-zs-ev-2024-cars-bangalore-10284208791/
2019 Maruti Vitara Brezza,64.22k km,Diesel,Manual,1st,1248cc,₹8.00 lakh,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-bangalore-10249008776/
2019 Tata Hexa,1.7L km,Diesel,Manual,2nd,2179cc,₹7.95 lakh,https://www.cars24.com/buy-used-tata-hexa-2019-cars-bangalore-10203503797/
2013 Toyota Innova,2.6L km,Diesel,Manual,2nd,2494cc,₹8.37 lakh,https://www.cars24.com/buy-used-toyota-innova-2013-cars-bangalore-10217545760/
2013 Toyota Innova,1.5L km,Diesel,Manual,3rd,2494cc,₹8.90 lakh,https://www.cars24.com/buy-used-toyota-innova-2013-cars-bangalore-10293648706/
2023 Mahindra BOLERO NEO,44.09k km,Diesel,Manual,1st,1493cc,₹9.50 lakh,https://www.cars24.com/buy-used-mahindra-bolero-neo-2023-cars-bangalore-10287422787/
2022 Tata NEXON EV,29.31k km,Electric,,1st,,₹10.50 lakh,https://www.cars24.com/buy-used-tata-nexon-ev-2022-cars-bangalore-10200348748/
2018 Toyota Innova Crysta,1.1L km,Diesel,,1st,2755cc,₹20.04 lakh,https://www.cars24.com/buy-used-toyota-innova-crysta-2018-cars-bangalore-10266309714/
2020 MG ZS EV,1.1L km,Electric,,1st,,₹10.50 lakh,https://www.cars24.com/buy-used-mg-zs-ev-2020-cars-bangalore-10228707775/
2021 Tata NEXON EV,59.43k km,Electric,,1st,,₹10.50 lakh,https://www.cars24.com/buy-used-tata-nexon-ev-2021-cars-bangalore-10250149703/
2021 Tata NEXON EV,19.29k km,Electric,,2nd,,₹11.88 lakh,https://www.cars24.com/buy-used-tata-nexon-ev-2021-cars-bangalore-10236240724/
2022 Tata TIGOR EV,58.77k km,Electric,,1st,,₹9.25 lakh,https://www.cars24.com/buy-used-tata-tigor-ev-2022-cars-bangalore-10265447725/
2019 Toyota Fortuner,2.7L km,Diesel,Manual,1st,2755cc,₹26.50 lakh,https://www.cars24.com/buy-used-toyota-fortuner-2019-cars-bangalore-10234705794/
2022 Mahindra Scorpio,35.15k km,Diesel,Manual,1st,2179cc,₹18.70 lakh,https://www.cars24.com/buy-used-mahindra-scorpio-2022-cars-bangalore-10272801792/
2020 Mahindra MARAZZO,88.77k km,Diesel,Manual,2nd,1497cc,₹10.25 lakh,https://www.cars24.com/buy-used-mahindra-marazzo-2020-cars-bangalore-10227803797/
2016 Hyundai Creta,84.77k km,Petrol,Manual,1st,1591cc,₹7.63 lakh,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-bangalore-23606809776/
2021 Renault Kwid,26.12k km,Petrol,Manual,1st,999cc,₹4.10 lakh,https://www.cars24.com/buy-used-renault-kwid-2021-cars-bangalore-14029304719/
2019 Nissan Kicks,1.5L km,Diesel,Manual,2nd,1461cc,₹6.30 lakh,https://www.cars24.com/buy-used-nissan-kicks-2019-cars-bangalore-10299006755/
2025 KIA SELTOS,1.14k km,Petrol,Manual,1st,,₹13.50 lakh,https://www.cars24.com/buy-used-kia-seltos-2025-cars-bangalore-10294706770/
2016 Mahindra XUV500,78.45k km,Diesel,Manual,1st,2179cc,₹9.00 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2016-cars-bangalore-10292505717/
2021 Renault TRIBER,38.58k km,Petrol,Manual,1st,999cc,₹6.50 lakh,https://www.cars24.com/buy-used-renault-triber-2021-cars-bangalore-10289806750/
2022 Renault Kiger,54.56k km,Petrol,Manual,1st,999cc,₹5.56 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-bangalore-10287608755/
2014 Maruti Swift,1.0L km,Petrol,Manual,1st,,₹4.10 lakh,https://www.cars24.com/buy-used-maruti-swift-2014-cars-bangalore-10287003756/
2012 Maruti Alto,37.74k km,Petrol,Manual,2nd,796cc,₹2.04 lakh,https://www.cars24.com/buy-used-maruti-alto-2012-cars-bangalore-10280903779/
2019 Tata NEXON,88.58k km,Petrol,,1st,1198cc,₹6.61 lakh,https://www.cars24.com/buy-used-tata-nexon-2019-cars-bangalore-10280700719/
2024 Hyundai EXTER,34.58k km,Petrol,,1st,1197cc,₹7.94 lakh,https://www.cars24.com/buy-used-hyundai-exter-2024-cars-bangalore-10279306750/
2022 Renault Kwid,2.69k km,Petrol,,2nd,999cc,₹4.85 lakh,https://www.cars24.com/buy-used-renault-kwid-2022-cars-bangalore-10279207752/
2023 Mahindra BOLERO NEO,54.67k km,Diesel,Manual,1st,1493cc,₹10.71 lakh,https://www.cars24.com/buy-used-mahindra-bolero-neo-2023-cars-bangalore-10269108754/
2013 Hyundai i20,29.93k km,Petrol,Manual,1st,1197cc,₹4.07 lakh,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-bangalore-10267004715/
2012 Maruti Alto 800,61.97k km,Petrol,Manual,1st,796cc,₹2.60 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2012-cars-bangalore-10258609717/
2011 Skoda Yeti,1.8L km,Diesel,Manual,2nd,1968cc,₹4.86 lakh,https://www.cars24.com/buy-used-skoda-yeti-2011-cars-bangalore-10257702759/
2023 Hyundai Verna,14.74k km,Petrol,Manual,1st,1497cc,₹12.87 lakh,https://www.cars24.com/buy-used-hyundai-verna-2023-cars-bangalore-10254205772/
2022 Hyundai Creta,50.57k km,Diesel,Manual,2nd,1493cc,₹16.35 lakh,https://www.cars24.com/buy-used-hyundai-creta-2022-cars-bangalore-10249502755/
2017 Mahindra XUV500,77.56k km,Diesel,Manual,4th,2179cc,₹10.40 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2017-cars-bangalore-10249104758/
2012 Tata Indigo ECS,50.21k km,Diesel,Manual,2nd,1396cc,₹2.04 lakh,https://www.cars24.com/buy-used-tata-indigo-ecs-2012-cars-bangalore-10247709751/
2018 Renault Kwid,27.89k km,Petrol,,1st,999cc,₹4.22 lakh,https://www.cars24.com/buy-used-renault-kwid-2018-cars-bangalore-10237904753/
2020 KIA SONET,54.07k km,Petrol,,1st,998cc,₹11.47 lakh,https://www.cars24.com/buy-used-kia-sonet-2020-cars-bangalore-10237401756/
2020 Renault Kwid,24.33k km,Petrol,Manual,1st,999cc,₹4.41 lakh,https://www.cars24.com/buy-used-renault-kwid-2020-cars-bangalore-10237400756/
2017 Hyundai Elite i20,1.2L km,Diesel,Manual,2nd,1396cc,₹6.06 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-bangalore-10228449764/
2022 Tata NEXON,18.29k km,Diesel,Manual,2nd,1497cc,₹11.88 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-bangalore-10220207793/
2024 Maruti FRONX,16.56k km,Petrol,Manual,1st,1197cc,₹9.38 lakh,https://www.cars24.com/buy-used-maruti-fronx-2024-cars-bangalore-10219905759/
2019 Hyundai GRAND I10 NIOS,1.1L km,Petrol,Manual,2nd,1197cc,₹4.30 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2019-cars-bangalore-10217402750/
2023 Hyundai GRAND I10 NIOS,9.08k km,Petrol,,1st,1197cc,₹7.63 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2023-cars-bangalore-10212403714/
2022 Renault Kiger,44.84k km,Petrol,,2nd,999cc,₹7.00 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-bangalore-10209401755/
2018 Hyundai New Elantra,86.98k km,Diesel,,2nd,1582cc,₹9.00 lakh,https://www.cars24.com/buy-used-hyundai-new-elantra-2018-cars-bangalore-10201909756/
2015 Hyundai Xcent,1.5L km,Diesel,Manual,1st,1120cc,₹5.00 lakh,https://www.cars24.com/buy-used-hyundai-xcent-2015-cars-bangalore-10015606771/
2012 Hyundai i20,76.65k km,Petrol,Manual,2nd,,₹2.46 lakh,https://www.cars24.com/buy-used-hyundai-i20-2012-cars-mumbai-10348206719/
